query_id	P_10
1	0.2000
2	0.1000
3	0.0000
4	0.4000
5	0.3000
6	0.5000
7	0.2000
8	0.1000
9	0.1000
10	0.1000
11	0.0000
12	0.7000
13	0.4000
14	0.3000
15	0.1000
16	0.0000
17	0.0000
18	0.2000
19	0.1000
20	0.7000
21	0.4000
22	0.0000
23	0.0000
24	0.0000
25	0.0000
26	0.0000
27	0.2000
28	0.0000
29	0.2000
30	0.0000
31	0.1000
32	0.0000
33	0.2000
34	0.0000
35	0.1000
36	0.2000
37	0.0000
38	0.1000
39	0.0000
40	0.6000
41	0.1000
42	0.0000
43	0.2000
44	0.1000
45	0.0000
46	0.7000
47	0.4000
48	0.0000
49	0.2000
50	0.0000
51	1.0000
52	1.0000
53	0.5000
54	0.8000
55	0.4000
56	1.0000
57	0.7000
58	1.0000
59	0.1000
60	0.0000
61	0.4000
62	0.5000
63	0.2000
64	0.3000
65	0.0000
66	0.0000
67	0.0000
68	0.1000
69	0.0000
70	0.8000
71	0.9000
72	0.0000
73	0.0000
74	0.1000
75	0.1000
76	0.2000
77	0.8000
78	0.9000
79	0.0000
80	0.0000
81	0.4000
82	0.9000
83	0.2000
84	0.1000
85	0.7000
86	0.6000
87	0.0000
88	0.0000
89	0.0000
90	0.6000
91	0.0000
92	0.1000
93	0.4000
94	0.4000
95	0.0000
96	0.0000
97	0.8000
98	0.7000
99	0.7000
100	0.5000
101	0.3000
102	0.5000
103	0.5000
104	0.2000
105	0.0000
106	0.7000
107	0.4000
108	0.3000
109	0.0000
110	0.4000
111	0.9000
112	0.3000
113	0.0000
114	0.2000
115	0.5000
116	0.2000
117	0.4000
118	0.6000
119	0.6000
120	0.2000
121	0.0000
122	0.7000
123	0.6000
124	0.5000
125	0.7000
126	0.4000
127	0.1000
128	0.4000
129	0.2000
130	0.6000
131	0.1000
132	1.0000
133	0.6000
134	0.6000
135	0.8000
136	0.3000
137	0.8000
138	0.2000
139	0.3000
140	0.2000
141	0.2000
142	0.5000
143	0.1000
144	0.0000
145	0.9000
146	0.7000
147	0.1000
148	0.1000
149	0.3000
150	0.8000
